Inventory_ID,Store_ID,Product_ID,Stock_On_Hand,Reorder_Level,Safety_Stock,Inventory_Value,Last_Updated_Date,Update_Status,Is_Overstock
INV006073,ST11,P0576,9,21,10,7457.94,2025-12-30,Updated,No
INV001969,ST04,P0230,86,19,8,32444.36,2025-12-15,Updated,No
INV000843,ST02,P0252,26,46,16,4689.36,2025-12-10,Updated,No
INV000965,ST02,P0374,26,42,20,13352.04,2025-12-09,Updated,No
INV006130,ST12,P0036,53,82,29,11164.45,2025-12-12,Updated,No
INV002305,ST05,P0013,17,43,16,2132.48,2025-12-14,Updated,No
INV000317,ST01,P0321,0,42,16,0.0,2025-12-14,Updated,No
INV001152,ST02,P0561,17,45,15,29453.18,2025-12-28,Updated,No
INV000734,ST02,P0143,42,75,35,13767.6,2025-12-05,Updated,No
INV005536,ST10,P0563,29,36,13,9050.03,2025-12-29,Updated,No
INV001343,ST03,P0159,33,72,22,9125.49,2025-12-01,Updated,No
INV005263,ST10,P0277,15,34,12,7870.8,2025-12-02,Updated,No
INV001352,ST03,P0168,424,71,32,106059.36,2025-12-25,Updated,Yes
INV002733,ST05,P0500,24,39,16,8260.08,2025-12-12,Updated,No
INV004099,ST08,P0194,20,40,13,774.6,2025-12-06,Updated,No
INV005077,ST10,P0079,36,73,28,6478.92,2025-12-18,Updated,No
INV002995,ST06,P0190,12,32,11,2804.52,2025-12-06,Updated,No
INV005014,ST10,P0008,23,64,22,12462.32,2025-12-10,Updated,No
INV005717,ST11,P0166,14,41,15,4785.34,2025-12-14,Updated,No
INV005082,ST10,P0084,23,40,19,3387.9,2025-12-21,Updated,No
INV001719,ST03,P0549,61,11,4,40358.82,2025-12-15,Updated,No
INV005539,ST10,P0566,8,22,8,5530.56,2025-12-15,Updated,No
INV005404,ST10,P0423,0,33,12,0.0,2025-12-10,Updated,No
INV003903,ST07,P0573,8,18,5,17020.56,2025-12-26,Updated,No
INV002915,ST06,P0099,68,91,29,32665.84,2025-12-17,Updated,No
INV004322,ST08,P0450,7,21,7,166.11,2025-12-10,Updated,No
INV003018,ST06,P0215,64,68,23,1358.08,2025-12-27,Updated,No
INV006617,ST12,P0551,18,40,14,10259.82,2025-12-23,Updated,No
INV004057,ST08,P0147,35,86,33,2801.05,2025-12-17,Updated,No
INV002877,ST06,P0060,0,87,36,0.0,2025-12-05,Updated,No
INV000634,ST02,P0043,5,16,5,83.85,2025-12-10,Updated,No
INV001254,ST03,P0065,37,69,29,2307.32,2025-12-23,Updated,No
INV004516,ST09,P0065,84,89,27,5238.24,2025-12-02,Updated,No
INV000921,ST02,P0330,7,22,7,2992.85,,Not Updated,No
INV002991,ST06,P0186,15,32,11,3194.4,2025-12-26,Updated,No
INV003393,ST07,P0027,8,36,14,4362.24,2025-12-16,Updated,No
INV005012,ST10,P0006,34,85,32,17738.82,2025-12-06,Updated,No
INV005768,ST11,P0225,21,39,11,8720.88,2025-12-26,Updated,No
INV000522,ST01,P0530,32,10,4,5962.56,2025-12-04,Updated,No
INV001491,ST03,P0314,20,39,16,5432.6,2025-12-28,Updated,No
INV000034,ST01,P0035,75,85,33,28935.75,2025-12-28,Updated,No
INV003626,ST07,P0274,7,17,8,2030.0,2025-12-14,Updated,No
INV000796,ST02,P0205,29,76,28,1590.65,2025-12-18,Updated,No
INV003658,ST07,P0309,25,46,22,8460.0,2025-12-21,Updated,No
INV004135,ST08,P0236,6,23,10,2010.36,2025-12-21,Updated,No
INV004718,ST09,P0290,27,35,13,14546.79,2025-12-02,Updated,No
INV004731,ST09,P0303,8,33,12,3845.76,2025-12-18,Updated,No
INV005872,ST11,P0345,18,36,12,6786.18,2025-12-25,Updated,No
INV000550,ST01,P0558,6,18,7,5784.48,,Not Updated,No
INV000232,ST01,P0236,132,22,9,44227.92,2025-12-28,Updated,Yes
INV002411,ST05,P0133,323,87,33,57025.65,2025-12-11,Updated,Yes
INV002141,ST04,P0424,27,8,3,2989.44,2025-12-18,Updated,No
INV000984,ST02,P0393,11,38,14,5865.97,2025-12-20,Updated,No
INV001707,ST03,P0537,31,10,3,23165.37,2025-12-22,Updated,No
INV005639,ST11,P0078,46,87,39,10402.44,2025-12-03,Updated,No
INV002316,ST05,P0025,39,80,25,15195.96,2025-12-05,Updated,No
INV001116,ST02,P0525,10,19,8,7858.8,2025-12-12,Updated,No
INV000822,ST02,P0231,65,71,21,37959.35,2025-12-31,Updated,No
INV001385,ST03,P0203,19,35,12,2589.89,2025-12-25,Updated,No
INV004906,ST09,P0495,7,20,9,7590.8,2025-12-27,Updated,No
INV003086,ST06,P0285,20,66,24,6547.8,2025-12-23,Updated,No
INV005688,ST11,P0133,91,72,30,16066.05,2025-12-19,Updated,No
INV002291,ST04,P0598,24,43,15,4614.96,2025-12-17,Updated,No
INV006636,ST12,P0571,7,19,6,3253.88,2025-12-31,Updated,No
INV005419,ST10,P0439,6,21,6,589.26,2025-12-08,Updated,No
INV002592,ST05,P0335,20,43,19,759.0,2025-12-14,Updated,No
INV002341,ST05,P0053,18,44,17,9423.36,2025-12-03,Updated,No
INV003040,ST06,P0238,6,17,6,491.64,2025-12-20,Updated,No
INV002180,ST04,P0471,32,10,4,7932.16,2025-12-12,Updated,No
INV000545,ST01,P0553,13,40,13,7107.62,2025-12-18,Updated,No
INV001887,ST04,P0139,8,37,13,1943.28,2025-12-02,Updated,No
INV006005,ST11,P0495,7,19,8,7590.8,2025-12-01,Updated,No
INV000798,ST02,P0207,19,43,17,1956.24,2025-12-22,Updated,No
INV002864,ST06,P0047,16,35,14,911.36,2025-12-17,Updated,No
INV006182,ST12,P0090,6,17,5,149.46,2025-12-13,Updated,No
INV002324,ST05,P0034,13,47,22,4341.74,2025-12-30,Updated,No
INV002601,ST05,P0346,60,68,32,7980.0,2025-12-06,Updated,No
INV004565,ST09,P0120,21,69,32,2942.94,2025-12-12,Updated,No
INV005713,ST11,P0162,31,80,35,4943.88,2025-12-23,Updated,No
INV000753,ST02,P0162,37,76,32,5900.76,2025-12-13,Updated,No
INV000290,ST01,P0294,0,74,36,0.0,2025-12-03,Updated,No
INV001974,ST04,P0235,19,44,21,3017.77,2025-12-06,Updated,No
INV002649,ST05,P0401,8,46,15,319.92,2025-12-18,Updated,No
INV005106,ST10,P0110,22,44,20,4738.14,2025-12-02,Updated,No
INV004930,ST09,P0520,7,20,7,2430.12,2025-12-08,Updated,No
INV002603,ST05,P0348,29,37,13,15683.78,2025-12-03,Updated,No
INV000564,ST01,P0572,62,16,5,86943.22,2025-12-09,Updated,No
INV003197,ST06,P0407,7,16,6,3304.98,2025-12-23,Updated,No
INV000901,ST02,P0310,36,11,5,9932.4,2025-12-28,Updated,No
INV001225,ST03,P0036,40,77,28,8426.0,2025-12-31,Updated,No
INV002404,ST05,P0124,29,32,15,11966.56,2025-12-02,Updated,No
INV003570,ST07,P0214,71,67,21,16828.42,2025-12-18,Updated,No
INV004340,ST08,P0471,45,10,3,11154.6,2025-12-08,Updated,No
INV003793,ST07,P0456,20,43,13,1098.4,2025-12-01,Updated,No
INV005616,ST11,P0051,68,73,33,15337.4,2025-12-22,Updated,No
INV003678,ST07,P0332,7,16,7,3358.95,2025-12-14,Updated,No
INV001177,ST02,P0586,7,23,7,171.08,2025-12-16,Updated,No
INV004321,ST08,P0449,17,32,13,1973.53,2025-12-26,Updated,No
INV000715,ST02,P0124,20,32,15,8252.8,2025-12-07,Updated,No
INV005943,ST11,P0422,82,11,3,7578.44,2025-12-18,Updated,No
INV003921,ST07,P0591,8,20,7,1295.36,2025-12-19,Updated,No
INV002190,ST04,P0483,9,22,10,2683.8,2025-12-26,Updated,No
INV006465,ST12,P0386,6,23,7,3298.8,2025-12-14,Updated,No
INV003254,ST06,P0474,30,38,11,17293.5,2025-12-01,Updated,No
INV004635,ST09,P0196,0,44,19,0.0,2025-12-05,Updated,No
INV004373,ST08,P0508,8,23,9,7703.76,2025-12-08,Updated,No
INV000777,ST02,P0186,15,41,14,3194.4,2025-12-05,Updated,No
INV006401,ST12,P0319,580,90,32,221635.4,2025-12-20,Updated,Yes
INV001516,ST03,P0340,61,75,29,12978.97,2025-12-04,Updated,No
INV006294,ST12,P0206,7,18,7,607.6,2025-12-15,Updated,No
INV005035,ST10,P0031,352,67,25,128648.96,2025-12-09,Updated,Yes
INV005469,ST10,P0492,7,16,4,5310.34,2025-12-04,Updated,No
INV003829,ST07,P0493,6,23,7,6241.08,2025-12-27,Updated,No
INV005537,ST10,P0564,9,22,7,19965.69,2025-12-19,Updated,No
INV002021,ST04,P0291,12,37,12,6609.12,2025-12-20,Updated,No
INV000989,ST02,P0398,18,34,15,2508.48,2025-12-25,Updated,No
INV002926,ST06,P0111,10,22,6,1165.3,2025-12-28,Updated,No
INV004921,ST09,P0511,14,46,22,3427.34,2025-12-31,Updated,No
INV003701,ST07,P0357,10,17,5,1661.8,2025-12-06,Updated,No
INV000910,ST02,P0319,66,67,27,25220.58,2025-12-10,Updated,No
INV003164,ST06,P0371,35,90,34,4466.0,2025-12-27,Updated,No
INV002417,ST05,P0139,28,35,15,6801.48,2025-12-27,Updated,No
INV001380,ST03,P0197,14,42,15,579.04,2025-12-20,Updated,No
INV003932,ST08,P0003,0,36,11,0.0,2025-12-15,Updated,No
INV004419,ST08,P0557,9,22,9,9977.94,2025-12-17,Updated,No
INV000061,ST01,P0062,13,33,14,293.93,2025-12-25,Updated,No
INV001558,ST03,P0382,16,41,14,6612.16,2025-12-29,Updated,No
INV002866,ST06,P0049,29,39,16,789.67,2025-12-24,Updated,No
INV003623,ST07,P0271,31,44,21,4495.0,2025-12-29,Updated,No
INV005170,ST10,P0180,17,39,15,2246.38,2025-12-03,Updated,No
INV002252,ST04,P0551,26,35,12,14819.74,2025-12-18,Updated,No
INV005532,ST10,P0558,3,19,5,2892.24,2025-12-01,Updated,No
INV000680,ST02,P0089,18,33,10,3294.72,2025-12-15,Updated,No
INV000487,ST01,P0494,26,45,15,18318.82,,Not Updated,No
INV002418,ST05,P0140,86,23,10,41859.64,2025-12-27,Updated,No
INV003087,ST06,P0286,4,17,6,684.24,2025-12-15,Updated,No
INV002935,ST06,P0121,72,78,23,21090.96,2025-12-15,Updated,No
INV002763,ST05,P0533,16,44,19,17064.0,2025-12-06,Updated,No
INV004973,ST09,P0566,6,20,7,4147.92,2025-12-25,Updated,No
INV004884,ST09,P0471,49,8,3,12146.12,2025-12-10,Updated,No
INV006183,ST12,P0091,6,20,8,1248.78,2025-12-28,Updated,No
INV005530,ST10,P0556,7,18,6,8367.03,2025-12-08,Updated,No
INV004878,ST09,P0464,25,93,30,1771.25,2025-12-14,Updated,No
INV000537,ST01,P0545,17,38,18,14155.22,2025-12-25,Updated,No
INV003249,ST06,P0469,81,92,45,7777.62,2025-12-04,Updated,No
INV003480,ST07,P0118,85,87,38,16228.2,2025-12-16,Updated,No
INV000515,ST01,P0523,148,37,12,39129.72,2025-12-09,Updated,Yes
INV000666,ST02,P0075,63,92,29,4505.13,2025-12-12,Updated,No
INV006158,ST12,P0066,6,21,9,884.82,2025-12-03,Updated,No
INV006545,ST12,P0473,5,19,7,1692.45,,Not Updated,No
INV003306,ST06,P0531,6,22,9,5833.38,2025-12-26,Updated,No
INV000283,ST01,P0287,18,47,15,6337.98,,Not Updated,No
INV005881,ST11,P0355,257,42,20,126629.04,2025-12-11,Updated,Yes
INV005826,ST11,P0291,231,38,15,127225.56,2025-12-02,Updated,Yes
INV002205,ST04,P0501,10,17,5,5599.0,2025-12-02,Updated,No
INV005842,ST11,P0312,24,33,10,6253.92,2025-12-26,Updated,No
INV004440,ST08,P0582,8,16,6,12489.76,2025-12-07,Updated,No
INV005662,ST11,P0103,20,46,14,11075.2,2025-12-14,Updated,No
INV005884,ST11,P0359,7,19,8,3938.13,2025-12-29,Updated,No
INV006103,ST12,P0009,71,66,23,20352.86,2025-12-25,Updated,No
INV000263,ST01,P0267,26,39,15,13037.96,2025-12-17,Updated,No
INV003541,ST07,P0183,630,66,30,43627.5,2025-12-07,Updated,Yes
INV002000,ST04,P0265,0,64,30,0.0,2025-12-26,Updated,No
INV006367,ST12,P0283,54,10,4,19208.34,2025-12-07,Updated,No
INV006257,ST12,P0169,18,47,16,7061.22,2025-12-16,Updated,No
INV004940,ST09,P0530,32,8,3,5962.56,2025-12-13,Updated,No
INV002608,ST05,P0354,0,35,10,0.0,2025-12-22,Updated,No
INV006244,ST12,P0154,5,18,5,1638.95,2025-12-23,Updated,No
INV005495,ST10,P0519,4,18,7,4336.24,2025-12-28,Updated,No
INV000880,ST02,P0289,10,44,13,5124.3,2025-12-29,Updated,No
INV000561,ST01,P0569,52,9,4,20726.16,2025-12-28,Updated,No
INV006218,ST12,P0128,6,32,12,613.26,2025-12-15,Updated,No
INV002987,ST06,P0182,36,79,37,18705.96,2025-12-03,Updated,No
INV000834,ST02,P0243,10,23,10,3922.6,2025-12-14,Updated,No
INV005689,ST11,P0134,13,40,13,6831.24,2025-12-04,Updated,No
INV000324,ST01,P0328,4,17,6,96.48,2025-12-20,Updated,No
INV005924,ST11,P0400,266,71,29,34827.38,2025-12-20,Updated,Yes
INV006114,ST12,P0020,16,45,16,1515.84,2025-12-05,Updated,No
INV003023,ST06,P0220,26,45,16,8776.56,2025-12-18,Updated,No
INV000117,ST01,P0119,30,95,33,11040.9,2025-12-18,Updated,No
INV005127,ST10,P0132,69,67,30,14917.8,2025-12-16,Updated,No
INV005013,ST10,P0007,14,32,10,7540.54,2025-12-06,Updated,No
INV003193,ST06,P0403,37,94,39,17252.36,2025-12-11,Updated,No
INV002736,ST05,P0503,9,23,9,8784.45,2025-12-16,Updated,No
INV002340,ST05,P0052,30,68,32,14622.9,2025-12-19,Updated,No
INV001044,ST02,P0453,50,67,27,1802.0,,Not Updated,No
INV002303,ST05,P0011,50,66,27,1504.5,2025-12-17,Updated,No
INV001017,ST02,P0426,37,11,3,3712.95,2025-12-12,Updated,No
INV000612,ST02,P0021,9,22,7,278.01,2025-12-14,Updated,No
INV002582,ST05,P0323,17,40,14,1805.23,2025-12-10,Updated,No
INV006478,ST12,P0399,190,46,20,90445.7,2025-12-30,Updated,Yes
INV004354,ST08,P0488,5,17,5,2352.7,2025-12-18,Updated,No
INV005188,ST10,P0199,24,40,13,2884.08,2025-12-05,Updated,No
INV004261,ST08,P0378,48,86,38,15532.8,2025-12-18,Updated,No
INV001810,ST04,P0049,18,35,10,490.14,2025-12-18,Updated,No
INV001250,ST03,P0061,11,34,12,2036.21,2025-12-21,Updated,No
INV004626,ST09,P0187,71,80,34,16834.1,2025-12-25,Updated,No
INV003479,ST07,P0117,55,81,33,775.5,2025-12-31,Updated,No
INV002163,ST04,P0452,13,46,13,1127.49,2025-12-04,Updated,No
INV001305,ST03,P0118,65,95,41,12409.8,2025-12-28,Updated,No
INV001298,ST03,P0111,8,21,8,932.24,2025-12-11,Updated,No
INV004146,ST08,P0247,8,18,7,3387.44,2025-12-18,Updated,No
INV002636,ST05,P0384,80,93,35,12916.0,2025-12-05,Updated,No
INV004998,ST09,P0592,64,9,3,14098.56,2025-12-13,Updated,No
INV003395,ST07,P0029,8,33,14,3877.84,2025-12-10,Updated,No
INV006157,ST12,P0065,578,94,38,36044.08,2025-12-20,Updated,Yes
INV000052,ST01,P0053,15,46,20,7852.8,2025-12-02,Updated,No
INV000320,ST01,P0324,7,34,13,350.21,2025-12-21,Updated,No
INV002919,ST06,P0103,21,40,17,11628.96,2025-12-31,Updated,No
INV003235,ST06,P0450,3,17,6,71.19,2025-12-08,Updated,No
INV004208,ST08,P0315,49,65,23,4418.33,2025-12-09,Updated,No
INV005296,ST10,P0311,0,33,13,0.0,2025-12-17,Updated,No
INV005888,ST11,P0363,11,41,20,1055.67,2025-12-24,Updated,No
INV001825,ST04,P0068,39,88,29,9236.76,2025-12-22,Updated,No
INV003568,ST07,P0212,370,83,30,10215.7,2025-12-04,Updated,Yes
INV002364,ST05,P0077,18,45,22,2901.06,2025-12-14,Updated,No
INV000737,ST02,P0146,18,35,11,8110.08,2025-12-17,Updated,No
INV004908,ST09,P0497,9,22,8,1782.18,2025-12-16,Updated,No
INV000732,ST02,P0141,0,38,15,0.0,,Not Updated,No
INV006043,ST11,P0542,17,44,18,10968.06,2025-12-16,Updated,No
INV005412,ST10,P0431,43,65,26,1067.26,2025-12-21,Updated,No
INV002795,ST05,P0570,5,19,8,6415.45,2025-12-09,Updated,No
INV002810,ST05,P0586,5,18,5,122.2,2025-12-03,Updated,No
INV004125,ST08,P0223,20,35,17,11306.2,2025-12-06,Updated,No
INV005197,ST10,P0208,80,90,38,6468.0,2025-12-28,Updated,No
INV002108,ST04,P0388,8,22,8,4030.72,2025-12-25,Updated,No
INV005205,ST10,P0216,28,38,17,10240.44,2025-12-09,Updated,No
INV001556,ST03,P0380,22,43,13,7405.2,2025-12-12,Updated,No
INV000321,ST01,P0325,10,37,16,3595.4,2025-12-13,Updated,No
INV003201,ST06,P0412,79,70,27,35144.73,2025-12-23,Updated,No
INV002537,ST05,P0274,8,17,7,2320.0,2025-12-04,Updated,No
INV004364,ST08,P0498,89,22,6,69677.21,2025-12-05,Updated,No
INV003014,ST06,P0211,34,72,30,2536.4,2025-12-27,Updated,No
INV001892,ST04,P0145,52,78,34,16994.64,2025-12-19,Updated,No
INV004594,ST09,P0150,74,73,25,5291.74,2025-12-07,Updated,No
INV000067,ST01,P0068,0,88,35,0.0,2025-12-23,Updated,No
INV002551,ST05,P0290,17,34,12,9159.09,2025-12-17,Updated,No
INV001065,ST02,P0474,8,36,12,4611.6,2025-12-28,Updated,No
INV002697,ST05,P0452,29,33,10,2515.17,2025-12-01,Updated,No
INV005844,ST11,P0314,0,32,13,0.0,2025-12-21,Updated,No
INV004936,ST09,P0526,25,38,11,14916.75,2025-12-15,Updated,No
INV003868,ST07,P0535,20,35,17,16866.4,2025-12-26,Updated,No
INV000599,ST02,P0008,48,82,30,26008.32,2025-12-31,Updated,No
INV002647,ST05,P0398,15,39,17,2090.4,2025-12-31,Updated,No
INV006637,ST12,P0572,8,19,7,11218.48,2025-12-14,Updated,No
INV000395,ST01,P0399,15,34,11,7140.45,2025-12-13,Updated,No
INV003721,ST07,P0378,39,83,28,12620.4,,Not Updated,No
INV002247,ST04,P0546,0,37,14,0.0,2025-12-02,Updated,No
INV000202,ST01,P0206,9,19,9,781.2,2025-12-11,Updated,No
INV004444,ST08,P0586,8,20,8,195.52,2025-12-27,Updated,No
INV001034,ST02,P0443,9,37,13,671.49,2025-12-06,Updated,No
INV001213,ST03,P0022,21,40,18,3237.15,2025-12-10,Updated,No
INV003252,ST06,P0472,45,8,3,3607.2,2025-12-09,Updated,No
INV001948,ST04,P0206,10,23,9,868.0,2025-12-04,Updated,No
INV004854,ST09,P0439,5,17,5,491.05,2025-12-15,Updated,No
INV001314,ST03,P0129,25,44,20,4498.5,2025-12-03,Updated,No
INV005941,ST11,P0420,10,23,9,2864.6,2025-12-31,Updated,No
INV004157,ST08,P0261,87,10,3,7308.87,2025-12-27,Updated,No
INV001764,ST03,P0599,14,38,14,696.64,2025-12-26,Updated,No
INV002145,ST04,P0429,17,38,18,1927.97,2025-12-27,Updated,No
INV006115,ST12,P0021,4,21,7,123.56,2025-12-02,Updated,No
INV002626,ST05,P0374,10,41,12,5135.4,2025-12-15,Updated,No
INV000080,ST01,P0081,34,94,38,3710.08,2025-12-05,Updated,No
INV005675,ST11,P0120,359,70,33,50310.26,2025-12-27,Updated,Yes
INV004043,ST08,P0132,77,66,29,16647.4,,Not Updated,No
INV002563,ST05,P0302,28,45,16,8445.08,2025-12-14,Updated,No
INV003345,ST06,P0572,9,17,7,12620.79,2025-12-03,Updated,No
INV001112,ST02,P0521,14,41,19,4231.64,2025-12-18,Updated,No
INV002691,ST05,P0446,6,17,8,532.56,2025-12-27,Updated,No
INV004219,ST08,P0329,12,38,13,698.4,2025-12-27,Updated,No
INV000338,ST01,P0342,65,9,3,29610.75,2025-12-22,Updated,No
INV004200,ST08,P0307,170,45,18,41559.9,2025-12-05,Updated,Yes
INV001701,ST03,P0531,5,18,8,4861.15,2025-12-26,Updated,No
INV000293,ST01,P0297,250,42,14,68980.0,2025-12-25,Updated,Yes
INV000982,ST02,P0391,10,19,8,2744.4,2025-12-01,Updated,No
INV003359,ST06,P0589,6,20,9,1997.64,2025-12-20,Updated,No
INV001842,ST04,P0088,22,41,14,5401.44,,Not Updated,No
INV001286,ST03,P0099,58,95,37,27862.04,2025-12-11,Updated,No
INV001912,ST04,P0165,29,76,23,11903.63,2025-12-07,Updated,No
INV004740,ST09,P0314,19,45,22,5160.97,2025-12-23,Updated,No
INV006208,ST12,P0118,74,92,43,14128.08,2025-12-08,Updated,No
INV003230,ST06,P0445,13,32,9,1089.4,2025-12-25,Updated,No
INV004769,ST09,P0346,29,80,32,3857.0,2025-12-22,Updated,No
INV005328,ST10,P0344,4,17,6,1742.48,2025-12-24,Updated,No
INV004047,ST08,P0137,26,85,33,9970.22,2025-12-18,Updated,No
INV005498,ST10,P0523,28,42,20,7402.92,2025-12-06,Updated,No
INV002779,ST05,P0551,175,38,14,99748.25,2025-12-22,Updated,Yes
INV005431,ST10,P0453,60,87,42,2162.4,2025-12-27,Updated,No
INV005101,ST10,P0104,30,40,12,2782.8,2025-12-20,Updated,No
INV001914,ST04,P0168,47,74,28,11756.58,2025-12-31,Updated,No
INV005555,ST10,P0584,5,21,6,7710.6,2025-12-09,Updated,No
INV003085,ST06,P0284,20,41,13,11066.2,2025-12-21,Updated,No
INV006129,ST12,P0035,32,80,24,12345.92,2025-12-13,Updated,No
INV002073,ST04,P0353,143,32,12,36336.3,2025-12-10,Updated,Yes
INV003834,ST07,P0498,88,17,7,68894.32,2025-12-13,Updated,No
INV001982,ST04,P0244,12,23,8,5575.56,2025-12-14,Updated,No
INV005154,ST10,P0164,6,20,9,2265.78,2025-12-29,Updated,No
INV003270,ST06,P0492,5,23,9,3793.1,2025-12-04,Updated,No
INV005268,ST10,P0283,62,11,5,22054.02,2025-12-19,Updated,No
INV003036,ST06,P0234,10,21,9,4172.8,2025-12-24,Updated,No
INV000114,ST01,P0116,32,46,16,1488.64,,Not Updated,No
INV000513,ST01,P0521,22,38,13,6649.72,2025-12-17,Updated,No
INV005977,ST11,P0460,27,42,19,3177.36,2025-12-28,Updated,No
INV000689,ST02,P0098,12,38,13,1663.44,2025-12-19,Updated,No
INV005542,ST10,P0569,38,8,3,15146.04,2025-12-06,Updated,No
INV001531,ST03,P0355,32,44,20,15767.04,2025-12-15,Updated,No
INV001180,ST02,P0589,117,23,10,38953.98,2025-12-20,Updated,Yes
INV002581,ST05,P0322,45,11,4,21542.85,2025-12-25,Updated,No
INV005234,ST10,P0246,287,42,18,72065.7,2025-12-07,Updated,Yes
INV001773,ST04,P0008,29,64,21,15713.36,2025-12-09,Updated,No
INV003946,ST08,P0020,0,35,17,0.0,2025-12-30,Updated,No
INV000945,ST02,P0354,22,43,15,7980.06,2025-12-13,Updated,No
INV004319,ST08,P0447,39,75,28,1716.78,2025-12-03,Updated,No
INV003404,ST07,P0039,54,87,26,26128.44,2025-12-25,Updated,No
INV003391,ST07,P0025,35,83,34,13637.4,2025-12-19,Updated,No
INV000851,ST02,P0260,17,42,12,1890.23,2025-12-03,Updated,No
INV005147,ST10,P0156,76,85,42,15863.48,2025-12-12,Updated,No
INV006249,ST12,P0159,63,74,33,17421.39,2025-12-07,Updated,No
INV002906,ST06,P0090,6,20,6,149.46,2025-12-14,Updated,No
INV004117,ST08,P0213,0,74,30,0.0,2025-12-30,Updated,No
INV004124,ST08,P0221,0,32,13,0.0,2025-12-16,Updated,No
INV003095,ST06,P0296,26,36,16,11721.58,2025-12-29,Updated,No
INV001787,ST04,P0023,20,38,16,2085.0,2025-12-12,Updated,No
INV000384,ST01,P0388,69,18,7,34764.96,2025-12-27,Updated,No
INV000184,ST01,P0187,43,93,31,10195.3,2025-12-20,Updated,No
INV004989,ST09,P0583,14,38,18,25777.64,2025-12-24,Updated,No
INV003006,ST06,P0202,24,43,21,2692.08,2025-12-07,Updated,No
INV001823,ST04,P0064,19,44,16,2017.61,2025-12-28,Updated,No
INV005955,ST11,P0438,33,79,30,1815.33,2025-12-05,Updated,No
INV003654,ST07,P0304,16,40,15,8337.44,2025-12-28,Updated,No
INV004909,ST09,P0498,6,20,8,4697.34,2025-12-03,Updated,No
INV001735,ST03,P0567,66,17,7,64092.6,2025-12-13,Updated,No
INV004782,ST09,P0361,5,18,5,1953.15,2025-12-06,Updated,No
INV004697,ST09,P0268,214,45,22,57756.46,2025-12-20,Updated,Yes
INV000551,ST01,P0559,7,41,14,16240.14,2025-12-24,Updated,No
INV003105,ST06,P0306,18,44,18,1907.28,2025-12-11,Updated,No
INV004152,ST08,P0254,12,33,11,3956.4,2025-12-07,Updated,No
INV004905,ST09,P0494,25,47,18,17614.25,2025-12-08,Updated,No
INV006525,ST12,P0451,27,44,16,2387.88,2025-12-15,Updated,No
INV000174,ST01,P0177,90,86,33,23652.9,2025-12-14,Updated,No
INV003195,ST06,P0405,20,41,14,3984.8,2025-12-10,Updated,No
INV001062,ST02,P0471,34,9,4,8427.92,2025-12-29,Updated,No
INV002842,ST06,P0021,7,20,8,216.23,2025-12-12,Updated,No
INV003961,ST08,P0036,68,69,25,14324.2,2025-12-19,Updated,No
INV001913,ST04,P0166,20,40,12,6836.2,2025-12-24,Updated,No
INV002574,ST05,P0314,356,42,13,96700.28,2025-12-24,Updated,Yes
INV001990,ST04,P0252,18,46,20,3246.48,2025-12-02,Updated,No
INV006433,ST12,P0352,26,32,15,13884.52,2025-12-26,Updated,No
INV002415,ST05,P0137,49,92,36,18790.03,2025-12-26,Updated,No
